 * Serving Flask app 'server'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:9543
 * Running on http://172.17.0.2:9543
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 138-778-947
172.21.0.4 - - [07/May/2024 23:34:54] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:35:13] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:35:30] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:35:35] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:35:41] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:35:49] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:35:51] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:35:54] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:36:02] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:36:03] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:36:13] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:36:26] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:36:34] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:36:41] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:36:42] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:36:42] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:36:50] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:36:56] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:37:00] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:37:14] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:37:16] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:37:45] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:38:06] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:38:10] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:38:11] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:38:43] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:38:44] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:38:44] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:38:45] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:38:56] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:39:03] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:39:06] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:39:12] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:39:18] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:39:22] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:39:39] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:40:03] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:40:05] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:40:16] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:40:30] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:40:33] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:40:42] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:40:51] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:41:07] "POST /record_run HTTP/1.1" 200 -
